benchmark,shape,T1_best_param,T2_best_param,T4_best_param,T8_best_param,T1_best_speedup,T2_best_speedup,T4_best_speedup,T8_best_speedup,our_best_thread,our_best_param,our_best_speedup
matmul,"(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)","(32, 32, 32)",13.0601,13.0601,14.283,13.612,4,"(32, 32, 32)",14.283
matmul,"(64, 64, 64)","(32, 16, 8)","(32, 16, 8)","(32, 16, 16)","(16, 32, 32)",1.075,1.075,1.0777,1.0532,4,"(32, 16, 16)",1.0777
matmul,"(128, 128, 128)","(32, 16, 8)","(32, 16, 8)","(32, 32, 16)","(32, 8, 4)",2.145,2.145,2.5342,2.62,8,"(32, 8, 4)",2.62
dropout,"(512,)","(1024, 64)","(1024, 64)","(1024, 32)","(1024, 4)",6.6716,6.6716,6.5905,9.3002,8,"(1024, 4)",9.3002
dropout,"(1024,)","(1024, 64)","(1024, 64)","(1024, 32)","(1024, 16)",10.8684,10.8684,11.7836,10.4632,4,"(1024, 32)",11.7836
dropout,"(2048,)","(4096, 16)","(4096, 16)","(4096, 32)","(4096, 32)",8.9412,8.9412,6.3863,8.1059,1,"(4096, 16)",8.9412
correlation,"(1, 1, 32, 32)","(1, 2)","(1, 2)","(2, 4)","(1, 4)",1.1282,1.1282,1.0745,1.0478,1,"(1, 2)",1.1282
correlation,"(4, 4, 32, 32)","(2, 16)","(2, 16)","(1, 32)","(1, 16)",1.9956,1.9956,1.5207,1.5733,1,"(2, 16)",1.9956
correlation,"(4, 4, 64, 64)","(1, 16)","(1, 16)","(1, 16)","(2, 4)",1.0645,1.0645,1.142,1.0665,4,"(1, 16)",1.142
layernorm,"(64, 64)","(4,)","(4,)","(8,)","(4,)",3.8679,3.8679,3.6511,3.675,1,"(4,)",3.8679
layernorm,"(256, 256)","(32,)","(32,)","(64,)","(8,)",1.4976,1.4976,1.4961,1.5152,8,"(8,)",1.5152
layernorm,"(1024, 1024)","(16,)","(16,)","(16,)","(32,)",2.4236,2.4236,4.1033,4.4599,8,"(32,)",4.4599
resize,"(32, 32, 1)","(4,)","(4,)","(16,)","(16,)",1.309,1.309,1.4678,1.4387,4,"(16,)",1.4678
resize,"(32, 128, 1)","(16,)","(16,)","(16,)","(16,)",0.9993,0.9993,1.6845,2.2479,8,"(16,)",2.2479
resize,"(64, 128, 1)","(16,)","(16,)","(16,)","(16,)",1.1371,1.1371,2.1787,2.7758,8,"(16,)",2.7758
rope,"(64, 4, 4, 256)","(32,)","(32,)","(64,)","(8,)",1.0379,1.0379,2.133,2.3474,8,"(8,)",2.3474
rope,"(256, 1, 4, 256)","(32,)","(32,)","(128,)","(32,)",1.0477,1.0477,2.0305,2.4757,8,"(32,)",2.4757
rope,"(256, 4, 4, 64)","(16,)","(16,)","(32,)","(32,)",1.0727,1.0727,1.6912,2.0146,8,"(32,)",2.0146
