benchmark,shape,thread,parameter,time(s),speedup
matmul,"(32, 32, 32)",1,"(32, 32, 32)",0.00184068,13.0601
matmul,"(32, 32, 32)",2,"(32, 32, 16)",0.00182372,13.1815
matmul,"(32, 32, 32)",4,"(32, 32, 32)",0.00168308,14.283
matmul,"(32, 32, 32)",8,"(32, 32, 32)",0.00176604,13.612
matmul,"(64, 64, 64)",1,"(32, 16, 8)",0.0122845,1.075
matmul,"(64, 64, 64)",2,"(16, 8, 8)",0.0120143,1.0992
matmul,"(64, 64, 64)",4,"(32, 16, 16)",0.0122532,1.0777
matmul,"(64, 64, 64)",8,"(16, 32, 32)",0.0125382,1.0532
matmul,"(128, 128, 128)",1,"(32, 16, 8)",0.0153802,2.145
matmul,"(128, 128, 128)",2,"(32, 16, 16)",0.0140248,2.3523
matmul,"(128, 128, 128)",4,"(32, 32, 16)",0.013018,2.5342
matmul,"(128, 128, 128)",8,"(32, 8, 4)",0.0125914,2.62
dropout,"(512,)",1,"(1024, 64)",0.0018762,6.6716
dropout,"(512,)",2,"(1024, 16)",0.00260348,4.8079
dropout,"(512,)",4,"(1024, 32)",0.00189928,6.5905
dropout,"(512,)",8,"(1024, 4)",0.0013459,9.3002
dropout,"(1024,)",1,"(1024, 64)",0.00195674,10.8684
dropout,"(1024,)",2,"(1024, 8)",0.00189745,11.208
dropout,"(1024,)",4,"(1024, 32)",0.00180477,11.7836
dropout,"(1024,)",8,"(1024, 16)",0.00203253,10.4632
dropout,"(2048,)",1,"(4096, 16)",0.00187746,8.9412
dropout,"(2048,)",2,"(4096, 32)",0.00278308,6.0317
dropout,"(2048,)",4,"(4096, 32)",0.00262858,6.3863
dropout,"(2048,)",8,"(4096, 32)",0.00207093,8.1059
correlation,"(1, 1, 32, 32)",1,"(1, 2)",0.011553,1.1282
correlation,"(1, 1, 32, 32)",2,"(4, 8)",0.0132278,0.9854
correlation,"(1, 1, 32, 32)",4,"(2, 4)",0.0121304,1.0745
correlation,"(1, 1, 32, 32)",8,"(1, 4)",0.0124393,1.0478
correlation,"(4, 4, 32, 32)",1,"(2, 16)",0.00944664,1.9956
correlation,"(4, 4, 32, 32)",2,"(2, 16)",0.0125709,1.4996
correlation,"(4, 4, 32, 32)",4,"(1, 32)",0.0123964,1.5207
correlation,"(4, 4, 32, 32)",8,"(1, 16)",0.011982,1.5733
correlation,"(4, 4, 64, 64)",1,"(1, 16)",0.0128247,1.0645
correlation,"(4, 4, 64, 64)",2,"(2, 32)",0.0124962,1.0925
correlation,"(4, 4, 64, 64)",4,"(1, 16)",0.0119552,1.142
correlation,"(4, 4, 64, 64)",8,"(2, 4)",0.0128016,1.0665
layernorm,"(64, 64)",1,"(4,)",0.0113665,3.8679
layernorm,"(64, 64)",2,"(8,)",0.0119625,3.6752
layernorm,"(64, 64)",4,"(8,)",0.0120413,3.6511
layernorm,"(64, 64)",8,"(4,)",0.011963,3.675
layernorm,"(256, 256)",1,"(32,)",0.0123789,1.4976
layernorm,"(256, 256)",2,"(16,)",0.011901,1.5578
layernorm,"(256, 256)",4,"(64,)",0.0123913,1.4961
layernorm,"(256, 256)",8,"(8,)",0.0122354,1.5152
layernorm,"(1024, 1024)",1,"(16,)",0.0255361,2.4236
layernorm,"(1024, 1024)",2,"(16,)",0.0192027,3.2229
layernorm,"(1024, 1024)",4,"(16,)",0.0150826,4.1033
layernorm,"(1024, 1024)",8,"(32,)",0.0138766,4.4599
resize,"(32, 32, 1)",1,"(4,)",0.0154985,1.309
resize,"(32, 32, 1)",2,"(16,)",0.0151184,1.3419
resize,"(32, 32, 1)",4,"(16,)",0.0138209,1.4678
resize,"(32, 32, 1)",8,"(16,)",0.0141011,1.4387
resize,"(32, 128, 1)",1,"(16,)",0.0364819,0.9993
resize,"(32, 128, 1)",2,"(16,)",0.0233103,1.564
resize,"(32, 128, 1)",4,"(16,)",0.0216428,1.6845
resize,"(32, 128, 1)",8,"(16,)",0.0162189,2.2479
resize,"(64, 128, 1)",1,"(16,)",0.0441017,1.1371
resize,"(64, 128, 1)",2,"(32,)",0.0372807,1.3452
resize,"(64, 128, 1)",4,"(16,)",0.0230179,2.1787
resize,"(64, 128, 1)",8,"(16,)",0.0180664,2.7758
rope,"(64, 4, 4, 256)",1,"(32,)",0.0385635,1.0379
rope,"(64, 4, 4, 256)",2,"(64,)",0.0266448,1.5021
rope,"(64, 4, 4, 256)",4,"(64,)",0.0187646,2.133
rope,"(64, 4, 4, 256)",8,"(8,)",0.0170502,2.3474
rope,"(256, 1, 4, 256)",1,"(32,)",0.039398,1.0477
rope,"(256, 1, 4, 256)",2,"(128,)",0.0280571,1.4712
rope,"(256, 1, 4, 256)",4,"(128,)",0.0203291,2.0305
rope,"(256, 1, 4, 256)",8,"(32,)",0.0166738,2.4757
rope,"(256, 4, 4, 64)",1,"(16,)",0.0367062,1.0727
rope,"(256, 4, 4, 64)",2,"(16,)",0.0308948,1.2745
rope,"(256, 4, 4, 64)",4,"(32,)",0.0232824,1.6912
rope,"(256, 4, 4, 64)",8,"(32,)",0.0195444,2.0146
